sample_id,split,label,category,type,change_type,description,longitude,latitude,zoom,t0_start,t0_end,t1_start,t1_end,t0_path,t1_path,t0_shape,t1_shape
natural_202,train,0,natural_change,negative,natural,Natural change,-67.35979664983675,6.233598481840144,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_202_t0.npy,train/images/natural_202_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1354,train,1,mining_emergence,positive,mining,Mining site emerged,-63.676553213166386,6.32183194603031,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_1354_t0.npy,train/images/mining_1354_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1893,train,1,mining_emergence,positive,mining,Mining site emerged,-62.0685030282746,4.140653107782851,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/mining_1893_t0.npy,train/images/mining_1893_t1.npy,"(48, 48, 6)","(48, 48, 6)"
human_331,train,0,human_activity,negative,human_non_mining,Human activity (not mining),-56.30763534763965,-15.978373303133372,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/human_331_t0.npy,train/images/human_331_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_843,train,1,mining_emergence,positive,mining,Mining site emerged,-51.052321,-6.911628,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_843_t0.npy,train/images/mining_843_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_111,train,0,natural_change,negative,natural,Natural change,-64.69336993084376,-16.172703221160248,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_111_t0.npy,train/images/natural_111_t1.npy,"(48, 48, 6)","(48, 48, 6)"
human_236,train,0,human_activity,negative,human_non_mining,Human activity (not mining),-60.0828177320741,-2.410908608136465,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/human_236_t0.npy,train/images/human_236_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_921,train,1,mining_emergence,positive,mining,Mining site emerged,-61.439894,4.5439475,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_921_t0.npy,train/images/mining_921_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_2233,train,1,mining_emergence,positive,mining,Mining site emerged,-66.90760195650098,-16.404555860948072,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/mining_2233_t0.npy,train/images/mining_2233_t1.npy,"(48, 48, 6)","(48, 48, 6)"
human_336,train,0,human_activity,negative,human_non_mining,Human activity (not mining),-73.48526605942489,-4.236543425239463,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/human_336_t0.npy,train/images/human_336_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_977,train,1,mining_emergence,positive,mining,Mining site emerged,-70.04966375067586,-12.895931081739626,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_977_t0.npy,train/images/mining_977_t1.npy,"(48, 48, 6)","(48, 48, 6)"
human_147,train,0,human_activity,negative,human_non_mining,Human activity (not mining),-51.7540615253483,0.338079145129787,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/human_147_t0.npy,train/images/human_147_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_449,train,1,mining_emergence,positive,mining,Mining site emerged,-51.000181,-6.970792,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/mining_449_t0.npy,train/images/mining_449_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_818,train,1,mining_emergence,positive,mining,Mining site emerged,-63.662606,6.233841,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_818_t0.npy,train/images/mining_818_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_2180,train,1,mining_emergence,positive,mining,Mining site emerged,-67.63642888507215,-15.424853193764386,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_2180_t0.npy,train/images/mining_2180_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_173,train,0,natural_change,negative,natural,Natural change,-62.142945664284085,4.713620077467135,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_173_t0.npy,train/images/natural_173_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_356,train,0,natural_change,negative,natural,Natural change,-60.832507818284334,-0.080217415755964,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_356_t0.npy,train/images/natural_356_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1445,train,1,mining_emergence,positive,mining,Mining site emerged,-60.57230151268122,7.818588848361497,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_1445_t0.npy,train/images/mining_1445_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1154,train,1,mining_emergence,positive,mining,Mining site emerged,-61.482536,6.357444,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_1154_t0.npy,train/images/mining_1154_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_102,train,0,natural_change,negative,natural,Natural change,-47.08842432247081,-4.234411526778826,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_102_t0.npy,train/images/natural_102_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_250,train,0,natural_change,negative,natural,Natural change,-47.555621585265044,-13.186713956725225,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_250_t0.npy,train/images/natural_250_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_0,train,1,mining_emergence,positive,mining,Mining site emerged,-66.80989905918398,3.704595676985884,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_0_t0.npy,train/images/mining_0_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_241,train,0,natural_change,negative,natural,Natural change,-47.115624083986674,-4.217328167791667,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_241_t0.npy,train/images/natural_241_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_460,train,1,mining_emergence,positive,mining,Mining site emerged,-56.85327925006201,-6.566049916657834,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_460_t0.npy,train/images/mining_460_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_2080,train,1,mining_emergence,positive,mining,Mining site emerged,-78.7766041606366,-4.436145596279879,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_2080_t0.npy,train/images/mining_2080_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_932,train,1,mining_emergence,positive,mining,Mining site emerged,-61.49884158305788,4.709752250363866,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_932_t0.npy,train/images/mining_932_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_834,train,1,mining_emergence,positive,mining,Mining site emerged,-57.357027,-5.8909265,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_834_t0.npy,train/images/mining_834_t1.npy,"(48, 48, 6)","(48, 48, 6)"
human_84,train,0,human_activity,negative,human_non_mining,Human activity (not mining),-59.971470115379205,-2.909911488721149,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/human_84_t0.npy,train/images/human_84_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_942,train,1,mining_emergence,positive,mining,Mining site emerged,-50.8958015,-7.3523355,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_942_t0.npy,train/images/mining_942_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_315,train,0,natural_change,negative,natural,Natural change,-54.91105480807243,4.811900790505158,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_315_t0.npy,train/images/natural_315_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_409,train,1,mining_emergence,positive,mining,Mining site emerged,-52.2471895,-6.296634,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_409_t0.npy,train/images/mining_409_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_506,train,1,mining_emergence,positive,mining,Mining site emerged,-57.0827205,-5.6681315,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_506_t0.npy,train/images/mining_506_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_151,train,0,natural_change,negative,natural,Natural change,-65.7492689034167,-15.988839527319696,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_151_t0.npy,train/images/natural_151_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_79,train,0,natural_change,negative,natural,Natural change,-54.42902832764127,4.651702114066854,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_79_t0.npy,train/images/natural_79_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_412,train,0,natural_change,negative,natural,Natural change,-74.61804633230567,-7.163251329448249,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_412_t0.npy,train/images/natural_412_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1563,train,1,mining_emergence,positive,mining,Mining site emerged,-77.19267481860516,-0.190742259830724,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/mining_1563_t0.npy,train/images/mining_1563_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_167,train,1,mining_emergence,positive,mining,Mining site emerged,-56.62225524984966,-7.875563083094732,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_167_t0.npy,train/images/mining_167_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_49,train,0,natural_change,negative,natural,Natural change,-62.90737371712413,6.226360909707897,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_49_t0.npy,train/images/natural_49_t1.npy,"(48, 48, 6)","(48, 48, 6)"
human_46,train,0,human_activity,negative,human_non_mining,Human activity (not mining),-44.326456577347436,-2.650611520211618,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/human_46_t0.npy,train/images/human_46_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_40,train,0,natural_change,negative,natural,Natural change,-61.731705357264566,4.867795149007955,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_40_t0.npy,train/images/natural_40_t1.npy,"(48, 48, 6)","(48, 48, 6)"
human_45,train,0,human_activity,negative,human_non_mining,Human activity (not mining),-44.3241162825658,-2.650308914417435,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/human_45_t0.npy,train/images/human_45_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1222,train,1,mining_emergence,positive,mining,Mining site emerged,-61.1730315,6.508143,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/mining_1222_t0.npy,train/images/mining_1222_t1.npy,"(48, 48, 6)","(48, 48, 6)"
human_325,train,0,human_activity,negative,human_non_mining,Human activity (not mining),-63.143730081676985,-4.126330634147532,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/human_325_t0.npy,train/images/human_325_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1881,train,1,mining_emergence,positive,mining,Mining site emerged,-68.70437860808896,-2.14730311540592,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/mining_1881_t0.npy,train/images/mining_1881_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_326,train,0,natural_change,negative,natural,Natural change,-55.142059300493045,4.796436019752688,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_326_t0.npy,train/images/natural_326_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_389,train,1,mining_emergence,positive,mining,Mining site emerged,-63.05227624997349,-9.365122917238594,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_389_t0.npy,train/images/mining_389_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_481,train,1,mining_emergence,positive,mining,Mining site emerged,-51.042546,-6.925741,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_481_t0.npy,train/images/mining_481_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_302,train,0,natural_change,negative,natural,Natural change,-54.983943369736224,4.642433032188791,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_302_t0.npy,train/images/natural_302_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_63,train,1,mining_emergence,positive,mining,Mining site emerged,-62.45168326664483,5.190643382112684,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_63_t0.npy,train/images/mining_63_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_488,train,1,mining_emergence,positive,mining,Mining site emerged,-56.746551,-6.8951,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_488_t0.npy,train/images/mining_488_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_732,train,1,mining_emergence,positive,mining,Mining site emerged,-56.853405,-6.1206165,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_732_t0.npy,train/images/mining_732_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_990,train,1,mining_emergence,positive,mining,Mining site emerged,-63.458570250238196,-9.985281082604068,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_990_t0.npy,train/images/mining_990_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1259,train,1,mining_emergence,positive,mining,Mining site emerged,-61.7427545,6.4593235,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_1259_t0.npy,train/images/mining_1259_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_402,train,0,natural_change,negative,natural,Natural change,-66.0578734617904,-0.324384080904222,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_402_t0.npy,train/images/natural_402_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1159,train,1,mining_emergence,positive,mining,Mining site emerged,-61.4650965,6.174919,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_1159_t0.npy,train/images/mining_1159_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_425,train,0,natural_change,negative,natural,Natural change,-74.63405556760993,-7.16834405504073,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_425_t0.npy,train/images/natural_425_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_2232,train,1,mining_emergence,positive,mining,Mining site emerged,-68.23355470621946,-15.306610005707022,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/mining_2232_t0.npy,train/images/mining_2232_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_677,train,1,mining_emergence,positive,mining,Mining site emerged,-54.864535,4.4712325,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_677_t0.npy,train/images/mining_677_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_208,train,1,mining_emergence,positive,mining,Mining site emerged,-55.0039205,4.426962,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_208_t0.npy,train/images/mining_208_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_195,train,0,natural_change,negative,natural,Natural change,-63.0158965580352,6.926963618514064,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_195_t0.npy,train/images/natural_195_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_203,train,0,natural_change,negative,natural,Natural change,-67.4757489970336,6.14557183082683,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_203_t0.npy,train/images/natural_203_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_2165,train,1,mining_emergence,positive,mining,Mining site emerged,-65.57640380611434,-15.475415175732419,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_2165_t0.npy,train/images/mining_2165_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1215,train,1,mining_emergence,positive,mining,Mining site emerged,-61.763144,6.4238705,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_1215_t0.npy,train/images/mining_1215_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_335,train,0,natural_change,negative,natural,Natural change,-54.85622461293081,4.894540157417974,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_335_t0.npy,train/images/natural_335_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1023,train,1,mining_emergence,positive,mining,Mining site emerged,-56.36834908321797,-5.887969250186152,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_1023_t0.npy,train/images/mining_1023_t1.npy,"(48, 48, 6)","(48, 48, 6)"
human_92,train,0,human_activity,negative,human_non_mining,Human activity (not mining),-49.08905614374153,-5.3653457036346,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/human_92_t0.npy,train/images/human_92_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1384,train,1,mining_emergence,positive,mining,Mining site emerged,-63.49671028524684,6.346740402616097,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_1384_t0.npy,train/images/mining_1384_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_216,train,1,mining_emergence,positive,mining,Mining site emerged,-56.114239333651675,-6.690652666986087,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_216_t0.npy,train/images/mining_216_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_870,train,1,mining_emergence,positive,mining,Mining site emerged,-69.98957575064063,-12.943543081740232,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/mining_870_t0.npy,train/images/mining_870_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_299,train,0,natural_change,negative,natural,Natural change,-54.985782457393086,4.655387432881434,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_299_t0.npy,train/images/natural_299_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_285,train,0,natural_change,negative,natural,Natural change,-54.99345944056006,4.70656188350363,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_285_t0.npy,train/images/natural_285_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_297,train,1,mining_emergence,positive,mining,Mining site emerged,-59.1682705,6.435727,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_297_t0.npy,train/images/mining_297_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_833,train,1,mining_emergence,positive,mining,Mining site emerged,-51.196629,-6.954287,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_833_t0.npy,train/images/mining_833_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1599,train,1,mining_emergence,positive,mining,Mining site emerged,-77.21316733196434,-0.18223435616697,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_1599_t0.npy,train/images/mining_1599_t1.npy,"(48, 48, 6)","(48, 48, 6)"
human_63,train,0,human_activity,negative,human_non_mining,Human activity (not mining),-60.40447442196099,-3.162243990454971,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/human_63_t0.npy,train/images/human_63_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_2340,train,1,mining_emergence,positive,mining,Mining site emerged,-45.92902986090176,-1.39847765337701,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/mining_2340_t0.npy,train/images/mining_2340_t1.npy,"(48, 48, 6)","(48, 48, 6)"
human_295,train,0,human_activity,negative,human_non_mining,Human activity (not mining),-65.45995059396932,-17.07255792272665,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/human_295_t0.npy,train/images/human_295_t1.npy,"(48, 48, 6)","(48, 48, 6)"
human_339,train,0,human_activity,negative,human_non_mining,Human activity (not mining),-59.7863825379353,-14.546246446512717,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/human_339_t0.npy,train/images/human_339_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_192,train,1,mining_emergence,positive,mining,Mining site emerged,-54.42690358300338,4.235748250559686,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/mining_192_t0.npy,train/images/mining_192_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_3,train,1,mining_emergence,positive,mining,Mining site emerged,-66.80781077591959,3.716093287684984,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_3_t0.npy,train/images/mining_3_t1.npy,"(48, 48, 6)","(48, 48, 6)"
natural_434,train,0,natural_change,negative,natural,Natural change,-78.76999304660694,-4.634061817522351,14,2019-01-01,2019-12-31,2021-01-01,2021-12-31,train/images/natural_434_t0.npy,train/images/natural_434_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_570,train,1,mining_emergence,positive,mining,Mining site emerged,-56.168662,-6.714265,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_570_t0.npy,train/images/mining_570_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1523,train,1,mining_emergence,positive,mining,Mining site emerged,-51.045944296835316,-6.852304250609277,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_1523_t0.npy,train/images/mining_1523_t1.npy,"(48, 48, 6)","(48, 48, 6)"
mining_1993,train,1,mining_emergence,positive,mining,Mining site emerged,-77.16354654023618,-0.426081329521744,14,2018-01-01,2018-12-31,2020-12-31,2023-12-31,train/images/mining_1993_t0.npy,train/images/mining_1993_t1.npy,"(48, 48, 6)","(48, 48, 6)"
